what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138394218
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138396640
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138396968
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138397203
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138398171
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138401859
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138401937
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138418578
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1286138437437
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286138437453
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1286138440265
started,bundle,de.uni_kassel.edobs_jdt,0.2.3.201005281321,"de.uni_kassel.edobs_jdt",1286138440875
started,bundle,de.uni_kassel.edobs.flipbook.jdt,1.0.2.201005281321,"de.uni_kassel.edobs.flipbook.jdt",1286138440906
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAutomatically",1286138445531
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1286138446968
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAutomatically",1286138451171
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138457937
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138473812
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138477031
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138477046
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138477156
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138487281
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138492375
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138497640
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138498515
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138594484
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138597500
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138664921
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138664984
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138668250
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138669640
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138701218
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138701562
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138727640
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138731062
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138760703
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1286138763656
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138766359
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138774890
opened,editor,de.uni_paderborn.fujaba4eclipse,0.8.1.201005281321,"de.uni_paderborn.fujaba4eclipse.editor.MainEditor",1286138776109
activated,editor,de.uni_paderborn.fujaba4eclipse,0.8.1.201005281321,"de.uni_paderborn.fujaba4eclipse.editor.MainEditor",1286138776156
error,log,,,"An internal error occurred during: ""Accessing Fujaba Model File"".",1286138776187
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138776328
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138780531
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1286138782281
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.closeProject",1286138784265
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286138784593
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286138784609
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286138784625
activated,editor,de.uni_paderborn.fujaba4eclipse,0.8.1.201005281321,"de.uni_paderborn.fujaba4eclipse.editor.MainEditor",1286138786468
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138786765
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138788093
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1286138788125
activated,editor,de.uni_paderborn.fujaba4eclipse,0.8.1.201005281321,"de.uni_paderborn.fujaba4eclipse.editor.MainEditor",1286138788875
activated,editor,de.uni_paderborn.fujaba4eclipse,0.8.1.201005281321,"de.uni_paderborn.fujaba4eclipse.editor.MainEditor",1286138788906
closed,editor,de.uni_paderborn.fujaba4eclipse,0.8.1.201005281321,"de.uni_paderborn.fujaba4eclipse.editor.MainEditor",1286138788906
error,log,,,"Widget is disposed",1286138788921
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138789359
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138789859
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1286138791562
closed,editor,de.uni_paderborn.fujaba4eclipse,0.8.1.201005281321,"de.uni_paderborn.fujaba4eclipse.editor.MainEditor",1286138791562
activated,perspective,de.uni_paderborn.fujaba4eclipse,0.8.1.201005281321,"de.uni_paderborn.fujaba4eclipse.perspective",1286138792328
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1286138792343
opened,editor,de.uni_paderborn.fujaba4eclipse,0.8.1.201005281321,"de.uni_paderborn.fujaba4eclipse.editor.MainEditor",1286138796203
activated,editor,de.uni_paderborn.fujaba4eclipse,0.8.1.201005281321,"de.uni_paderborn.fujaba4eclipse.editor.MainEditor",1286138796234
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138796312
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138797562
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1286138799031
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138804875
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138804890
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138804968
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138875609
activated,editor,de.uni_paderborn.fujaba4eclipse,0.8.1.201005281321,"de.uni_paderborn.fujaba4eclipse.editor.MainEditor",1286138881546
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138888796
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138932734
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138934359
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138964656
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1286138965500
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286138966671
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139130968
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139136953
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139150062
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1286139150093
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139154906
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139156625
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139157671
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139185218
activated,editor,de.uni_paderborn.fujaba4eclipse,0.8.1.201005281321,"de.uni_paderborn.fujaba4eclipse.editor.MainEditor",1286139193765
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1286139196750
activated,editor,de.uni_paderborn.fujaba4eclipse,0.8.1.201005281321,"de.uni_paderborn.fujaba4eclipse.editor.MainEditor",1286139198687
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1286139204109
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286139206859
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286139206984
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1286139209015
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1286139210640
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1286139211359
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1286139215703
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1286139221171
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139222375
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139222656
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139222703
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139224000
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1286139229156
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286139229484
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286139229546
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1286139234296
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286139234593
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286139234656
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1286139249687
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1286139256359
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286139265296
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139269921
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139281203
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1286139282703
executed,command,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.junitShortcut.run",1286139285250
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139285296
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139286750
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139287078
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139287171
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139288125
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139290296
opened,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1286139290890
activated,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1286139296375
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1286139306562
closed,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1286139306593
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286139308000
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286139308046
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1286139308562
executed,command,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.junitShortcut.run",1286139311078
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139311109
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139312312
opened,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1286139312500
activated,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1286139314718
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1286139339796
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286139340046
activated,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1286139343390
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286139343406
closed,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1286139343437
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1286139355953
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1286139362859
activated,editor,de.uni_paderborn.fujaba4eclipse,0.8.1.201005281321,"de.uni_paderborn.fujaba4eclipse.editor.MainEditor",1286139376578
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1286139381859
activated,editor,de.uni_paderborn.fujaba4eclipse,0.8.1.201005281321,"de.uni_paderborn.fujaba4eclipse.editor.MainEditor",1286139383937
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139433187
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139438718
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139447359
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139449484
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139453437
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139475828
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286139484718
activated,editor,de.uni_paderborn.fujaba4eclipse,0.8.1.201005281321,"de.uni_paderborn.fujaba4eclipse.editor.MainEditor",1286139485359
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286139485359
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286139486406
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286139487109
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286139487265
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286139488671
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286139488671
activated,editor,de.uni_paderborn.fujaba4eclipse,0.8.1.201005281321,"de.uni_paderborn.fujaba4eclipse.editor.MainEditor",1286139489796
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286139489796
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1286139491265
activated,editor,de.uni_paderborn.fujaba4eclipse,0.8.1.201005281321,"de.uni_paderborn.fujaba4eclipse.editor.MainEditor",1286139492218
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139504031
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139508625
no handler,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1286139516500
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139527234
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139547562
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1286139550203
activated,editor,de.uni_paderborn.fujaba4eclipse,0.8.1.201005281321,"de.uni_paderborn.fujaba4eclipse.editor.MainEditor",1286139553781
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1286139570875
activated,editor,de.uni_paderborn.fujaba4eclipse,0.8.1.201005281321,"de.uni_paderborn.fujaba4eclipse.editor.MainEditor",1286139572468
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139574859
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286139621359
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1286139621390
activated,editor,de.uni_paderborn.fujaba4eclipse,0.8.1.201005281321,"de.uni_paderborn.fujaba4eclipse.editor.MainEditor",1286139623437
