what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286149351953
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286149353375
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286149354656
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286149355171
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286149359390
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286149359562
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286149361765
activated,perspective,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugPerspective",1286149361828
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286149361843
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.VariableView",1286149364328
activated,view,de.uni_kassel.edobs,0.2.3.201005281321,"de.uni_kassel.edobs.views.EDobsDiagramView",1286149366187
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286149375250
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286149375390
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286149395640
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286149401578
activated,view,de.uni_kassel.edobs,0.2.3.201005281321,"de.uni_kassel.edobs.views.EDobsMethodView",1286149406953
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286149411296
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286149418125
activated,view,de.uni_kassel.edobs,0.2.3.201005281321,"de.uni_kassel.edobs.views.EDobsDiagramView",1286149419828
activated,view,de.uni_kassel.edobs,0.2.3.201005281321,"de.uni_kassel.edobs.views.EDobsMethodView",1286149424484
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286149425906
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286149433656
activated,view,de.uni_kassel.edobs,0.2.3.201005281321,"de.uni_kassel.edobs.views.EDobsDiagramView",1286149435015
no handler,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1286149436546
activated,view,de.uni_kassel.edobs,0.2.3.201005281321,"de.uni_kassel.edobs.views.EDobsMethodView",1286149441078
activated,view,de.uni_kassel.edobs,0.2.3.201005281321,"de.uni_kassel.edobs.views.EDobsDiagramView",1286149449500
activated,view,de.uni_kassel.edobs,0.2.3.201005281321,"de.uni_kassel.edobs.views.EDobsMethodView",1286149453187
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286149484437
