what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286148063265
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.BreakpointView",1286148068125
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.VariableView",1286148069359
activated,perspective,de.uni_paderborn.fujaba4eclipse,0.8.1.201005281321,"de.uni_paderborn.fujaba4eclipse.perspective",1286148072109
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286148072140
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1286148079343
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1286148094515
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1286148095468
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1286148096031
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1286148097046
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1286148121859
executed,command,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.junitShortcut.debug",1286148124109
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286148124593
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286148125875
activated,perspective,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugPerspective",1286148125953
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286148125984
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.VariableView",1286148128031
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286148160968
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1286148161468
activated,perspective,de.uni_paderborn.fujaba4eclipse,0.8.1.201005281321,"de.uni_paderborn.fujaba4eclipse.perspective",1286148168625
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1286148171187
executed,command,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.junitShortcut.debug",1286148173656
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286148174171
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286148175109
activated,perspective,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugPerspective",1286148175203
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286148175218
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.VariableView",1286148178562
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286148197125
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.VariableView",1286148198484
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286148204078
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286148204093
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286148204484
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286148206953
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286148219000
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286148219000
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286148219125
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286148242234
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286148246515
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286148246531
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286148246671
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286148279171
activated,perspective,de.uni_paderborn.fujaba4eclipse,0.8.1.201005281321,"de.uni_paderborn.fujaba4eclipse.perspective",1286148286640
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286148286656
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1286148289046
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1286148293359
executed,command,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.junitShortcut.debug",1286148296484
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286148296984
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286148297703
activated,perspective,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugPerspective",1286148297796
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286148297812
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.VariableView",1286148299546
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1286148313718
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Terminate",1286148313843
activated,perspective,de.uni_paderborn.fujaba4eclipse,0.8.1.201005281321,"de.uni_paderborn.fujaba4eclipse.perspective",1286148317390
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286148317421
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1286148318859
executed,command,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.junitShortcut.debug",1286148320968
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286148321484
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286148322421
activated,perspective,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugPerspective",1286148322515
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286148322531
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.VariableView",1286148323609
